Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
36;Wolfsburg;GER;7;15;6;5;4;24;20;4;23;1.53;18.2;23.2;-5;-0.33;26309;Lukas Nmecha - 4;Koen Casteels
37;Villarreal;ESP;9;14;6;3;5;15;10;5;21;1.5;17.2;14.6;2.6;0.19;14465;Alex Baena - 4;Gerónimo Rulli
38;Brighton;ENG;7;14;6;3;5;23;19;4;21;1.5;21.5;15.9;5.6;0.4;31425;Leandro Trossard - 7;Robert Sánchez
39;Chelsea;ENG;8;14;6;3;5;17;17;0;21;1.5;15.4;19.3;-3.9;-0.28;39901;Raheem Sterling Kai Havertz - 3;Edouard Mendy
40;M'Gladbach;GER;8;15;6;4;5;28;24;4;22;1.47;23.3;21.7;1.6;0.1;51718;Marcus Thuram - 10;Yann Sommer
41;Lyon;FRA;8;15;6;3;6;23;18;5;21;1.4;23.2;19;4.2;0.28;47753;Alexandre Lacazette - 9;Anthony Lopes
42;Torino;ITA;9;15;6;3;6;16;17;-1;21;1.4;15.8;19.3;-3.4;-0.23;18747;Nikola Vlaši? - 4;Vanja Milinkovi?-Savi?
43;Werder Bremen;GER;9;15;6;3;6;25;27;-2;21;1.4;19.3;24.1;-4.8;-0.32;41338;Niclas Füllkrug - 10;Ji?í Pavlenka
44;Valencia;ESP;10;14;5;4;5;22;15;7;19;1.36;20.3;14.5;5.8;0.42;41481;Edinson Cavani - 4;Giorgi Mamardashvili
45;Mallorca;ESP;11;14;5;4;5;13;13;0;19;1.36;13.2;14.2;-1;-0.07;14788;Vedat Muriqi - 8;Predrag Rajkovi?
46;Crystal Palace;ENG;11;14;5;4;5;15;18;-3;19;1.36;14;18.3;-4.3;-0.31;24691;Wilfried Zaha - 6;Vicente Guaita
47;Nice;FRA;9;15;5;5;5;15;17;-2;20;1.33;20.9;17;3.9;0.26;22293;Andy Delort - 5;Kasper Schmeichel
48;Brentford;ENG;10;15;4;7;4;23;25;-2;19;1.27;20.3;20.3;0;0;17066;Ivan Toney - 10;David Raya
49;Fulham;ENG;9;15;5;4;6;24;26;-2;19;1.27;19.6;27.3;-7.6;-0.51;22871;Aleksandar Mitrovi? - 9;Bernd Leno
50;Fiorentina;ITA;10;15;5;4;6;18;20;-2;19;1.27;20.9;17;3.9;0.26;32874;Giacomo Bonaventura Luka Jovi? - 3;Pietro Terracciano
51;Clermont Foot;FRA;10;15;5;4;6;19;23;-4;19;1.27;16;28;-12;-0.8;10561;Komnen Andri? - 4;Mory Diaw
52;Bologna;ITA;11;15;5;4;6;20;25;-5;19;1.27;16.9;20.6;-3.8;-0.25;20142;Marko Arnautovi? - 8;?ukasz Skorupski
53;Mainz 05;GER;10;15;5;4;6;19;24;-5;19;1.27;18.2;21.5;-3.2;-0.21;28082;Karim Onisiwo Marcus Ingvartsen - 4;Robin Zentner
54;Valladolid;ESP;12;14;5;2;7;13;21;-8;17;1.21;13.5;21.7;-8.2;-0.58;19794;Sergio León - 5;Jordi Masip
