,FTR
2132,NH
2133,H
2134,NH
2135,NH
2136,H
2137,NH
2138,NH
2139,NH
2140,NH
2141,NH
2142,H
2143,NH
2144,NH
2145,NH
2146,NH
2147,H
2148,H
2149,H
2150,NH
2151,NH
2152,H
2153,NH
2154,NH
2155,H
2156,NH
2157,NH
2158,NH
2159,H
2160,H
2161,NH
2162,H
2163,H
2164,NH
2165,NH
2166,H
2167,NH
2168,NH
2169,H
2170,NH
2171,NH
2172,NH
2173,NH
2174,H
2175,H
2176,H
2177,NH
2178,NH
2179,NH
2180,H
2181,H
2182,H
2183,NH
2184,NH
2185,H
2186,H
2187,H
2188,NH
2189,NH
2190,NH
2191,H
2192,NH
2193,NH
2194,NH
2195,NH
2196,H
2197,H
2198,NH
2199,H
2200,NH
2201,H
2202,NH
2203,NH
2204,NH
2205,NH
2206,NH
2207,NH
2208,NH
2209,H
2210,H
2211,NH
2212,H
2213,NH
2214,NH
2215,H
2216,H
2217,H
2218,NH
2219,H
2220,NH
2221,H
2222,NH
2223,NH
2224,NH
2225,NH
2226,H
2227,NH
2228,H
2229,NH
2230,H
2231,H
2232,H
2233,NH
2234,H
2235,NH
2236,H
2237,NH
2238,H
2239,NH
2240,H
2241,NH
2242,NH
2243,H
2244,H
2245,NH
2246,H
2247,NH
2248,H
2249,NH
2250,NH
2251,NH
2252,NH
2253,NH
2254,H
2255,H
2256,H
2257,H
2258,H
2259,NH
2260,NH
2261,NH
2262,NH
2263,H
2264,NH
2265,NH
2266,NH
2267,NH
2268,H
2269,NH
2270,H
2271,NH
2272,H
2273,NH
2274,H
2275,NH
2276,H
2277,H
2278,H
2279,H
2280,NH
2281,H
2282,H
2283,H
2284,H
2285,H
2286,NH
2287,NH
2288,NH
2289,NH
2290,NH
2291,H
2292,NH
2293,NH
2294,NH
2295,H
2296,NH
2297,NH
2298,NH
2299,NH
2300,NH
2301,H
2302,NH
2303,NH
2304,NH
2305,H
2306,H
2307,H
2308,H
2309,NH
2310,NH
2311,H
2312,NH
2313,NH
2314,NH
2315,H
2316,H
2317,H
2318,NH
2319,NH
2320,NH
2321,H
2322,NH
2323,H
2324,NH
2325,NH
2326,H
2327,H
2328,NH
2329,NH
2330,H
2331,H
2332,NH
2333,NH
2334,H
2335,NH
2336,H
2337,NH
2338,NH
2339,H
2340,NH
2341,H
2342,NH
2343,NH
2344,H
2345,NH
2346,H
2347,NH
2348,NH
2349,H
2350,H
2351,H
2352,H
2353,H
2354,H
2355,H
2356,NH
2357,H
2358,NH
2359,H
2360,H
2361,NH
2362,H
2363,H
2364,NH
2365,NH
2366,NH
2367,NH
2368,NH
2369,H
2370,NH
2371,NH
2372,NH
2373,NH
2374,NH
2375,NH
2376,NH
2377,NH
2378,H
2379,H
2380,H
2381,H
2382,H
2383,NH
2384,H
2385,H
2386,NH
2387,NH
2388,H
2389,H
2390,NH
2391,NH
2392,H
2393,NH
2394,NH
2395,H
2396,H
2397,NH
2398,H
2399,H
2400,H
2401,NH
2402,H
2403,H
2404,H
2405,H
2406,NH
2407,NH
2408,NH
2409,NH
2410,NH
2411,NH
2412,NH
2413,NH
2414,NH
2415,NH
2416,NH
2417,NH
2418,H
2419,NH
2420,H
2421,NH
2422,H
2423,H
